F1,F2,F3,F4,F5,F6,F7,F8
490,3.1,1.5,0.1,2.910657,1,M,A
490.484983,3.10367,1.509101,0.108932,2.910657,2,M,A
600,2.7,5.1,1.6,2.20351,3,M,B
600.854165,2.70108,5.100131,1.601018,2.20351,4,M,B
510,3.4,1.5,0.2,2.543554,5,M,A
510,3.5,1.4,0.2,8.997559,6,M,A
600,3.4,4.5,1.6,5.015191,7,M,B
720,3.2,6,1.8,0.782337,8,M,C
720.467251,3.200381,6.003978,1.805347,0.782337,9,M,C
570,2.8,4.1,1.3,6.869198,10,M,B
570.453889,2.808557,4.100142,1.308663,6.869198,11,M,B
500,2,3.5,1,4.373904,12,M,B
480,3,1.4,0.1,5.860519,13,M,A
500,3.6,1.4,0.2,4.918372,14,M,A
500.428916,3.606187,1.40488,0.209259,4.918372,15,M,A
540,3,4.5,1.5,6.421744,16,M,B
580,2.7,3.9,1.2,0.06359,17,M,B
570,2.5,5,2,9.9036,18,M,C
690,3.1,4.9,1.5,1.971553,19,M,B
690.201031,3.103362,4.90437,1.506439,1.971553,20,M,B
610,2.8,4.7,1.2,5.179407,21,M,B
610.608199,2.803487,4.704113,1.209784,5.179407,22,M,B
630,3.4,5.6,2.4,4.70215,23,M,C
490,2.5,4.5,1.7,1.358463,24,M,C
770,3.8,6.7,2.2,2.032982,25,M,C
500,3,1.6,0.2,0.413186,26,M,A
600,2.2,4,1,7.026499,27,M,B
600.120721,2.209034,4.002489,1.007952,7.026499,28,M,B
690,3.1,5.1,2.3,1.172175,29,M,C
670,3.1,4.4,1.4,3.922179,30,M,B
670.313211,3.109147,4.405724,1.40021,3.922179,31,M,B
500,3.3,1.4,0.2,5.054811,32,M,A
670,3,5.2,2.3,2.141599,33,M,C
790,3.8,6.4,2,2.751637,34,M,C
500,3.4,1.5,0.2,1.320054,35,M,A
500,2.3,3.3,1,0.32441,36,M,B
500.176424,2.302745,3.306639,1.002345,0.32441,37,M,B
560,2.8,4.9,2,2.585416,38,M,C
640,2.7,5.3,1.9,0.245813,39,M,C
510,3.8,1.5,0.3,5.174566,40,M,A
510.859001,3.800353,1.509493,0.305353,5.174566,41,M,A
570,2.9,4.2,1.3,5.528436,42,M,B
570.521344,2.908501,4.204961,1.304322,5.528436,43,M,B
540,3.9,1.3,0.4,7.760981,44,M,A
610,3,4.6,1.4,5.792629,45,M,B
640,2.9,4.3,1.3,1.25925,46,M,B
640.707218,2.902735,4.30353,1.307476,1.25925,47,M,B
480,3.4,1.6,0.2,8.020207,48,M,A
620,2.2,4.5,1.5,4.346428,49,M,B
620.54679,2.206088,4.503075,1.500661,4.346428,50,M,B
630,2.8,?,1.5,4.857251,51,M,C
660,3,4.4,1.4,3.659047,52,M,B
660.137021,3.002418,4.407614,1.40909,3.659047,53,M,B
440,3,1.3,0.2,0.968939,54,M,A
430,3,1.1,0.1,0.184528,55,M,A
650,3,5.8,2.2,1.971154,56,M,C
670,3,5,1.7,1.855525,57,M,B
670.857758,3.007487,5.00678,1.708843,1.855525,58,M,B
700,3.2,4.7,1.4,4.93176,59,M,B
700.835301,3.200288,4.702518,1.406361,4.93176,60,M,B
530,3.7,1.5,0.2,9.651052,61,M,A
530.487254,3.705784,1.504364,0.200065,9.651052,62,M,A
470,3.2,1.3,0.2,0.777972,63,M,A
470.639015,3.209004,1.30626,0.203732,0.777972,64,M,A
440,2.9,1.4,0.2,9.764421,65,M,A
440.17334,2.903383,1.405922,0.205309,9.764421,66,M,A
460,3.1,1.5,0.2,3.753489,67,M,A
460.748768,3.100417,1.507198,0.204846,3.753489,68,M,A
540,3.4,1.5,0.4,3.541684,69,M,A
540.373758,3.401357,1.508716,0.409373,3.541684,70,M,A
580,2.7,5.1,1.9,3.736839,71,M,C
450,2.3,1.3,0.3,8.294878,72,M,A
450.87309,2.300694,1.303468,0.307863,8.294878,73,M,A
640,2.8,5.6,2.2,1.550329,74,M,C
640.830831,2.802052,5.604335,2.20409,1.550329,75,M,C
620,2.8,4.8,1.8,8.933881,76,M,C
620,2.9,4.3,1.3,7.037789,77,M,B
620.614646,2.908612,4.302548,1.307849,7.037789,78,M,B
510,3.5,1.4,0.3,0.544826,79,M,A
510.130488,3.502938,1.400942,0.3045,0.544826,80,M,A
490,3.1,1.5,0.1,7.662596,81,M,A
740,2.8,6.1,1.9,7.972546,82,M,C
740.494148,2.8076,6.106145,1.908684,7.972546,83,M,C
650,3,5.2,2,0.7362,84,M,C
550,2.4,3.7,1,3.394859,85,M,B
550.624385,2.402074,3.70102,1.00472,3.394859,86,M,B
670,3.3,5.7,2.5,3.332192,87,M,C
630,2.9,5.6,1.8,6.138028,88,M,C
610,2.8,4,1.3,9.290546,89,M,B
610.046817,2.80908,4.009781,-16.053598,9.290546,90,M,B
480,3,1.4,0.3,7.025954,91,M,A
640,2.8,67.609745,2.1,7.273909,92,M,?
550,2.3,4,1.3,0.60444,93,M,B
570,4.4,1.5,0.4,5.886334,94,M,A
570.677629,4.404963,1.503016,0.405808,5.886334,95,M,A
690,3.1,5.4,2.1,7.589548,96,M,C
