F1,F3,F4,F8
490.0,1.5,0.1,A
490.484983,1.509101,0.108932,A
600.0,5.1,1.6,B
600.854165,5.100131,1.601018,B
510.0,1.5,0.2,A
510.0,1.4,0.2,A
600.0,4.5,1.6,B
720.0,6.0,1.8,C
720.467251,6.003978,1.805347,C
570.0,4.1,1.3,B
570.453889,4.100142,1.308663,B
500.0,3.5,1.0,B
480.0,1.4,0.1,A
500.0,1.4,0.2,A
500.428916,1.40488,0.209259,A
540.0,4.5,1.5,B
580.0,3.9,1.2,B
570.0,5.0,2.0,C
690.0,4.9,1.5,B
690.201031,4.90437,1.506439,B
610.0,4.7,1.2,B
610.608199,4.704113,1.209784,B
630.0,5.6,2.4,C
490.0,4.5,1.7,C
770.0,6.7,2.2,C
500.0,1.6,0.2,A
600.0,4.0,1.0,B
600.120721,4.002489,1.007952,B
690.0,5.1,2.3,C
670.0,4.4,1.4,B
670.313211,4.405724,1.40021,B
670.0,5.2,2.3,C
790.0,6.4,2.0,C
500.0,1.5,0.2,A
500.0,3.3,1.0,B
500.176424,3.306639,1.002345,B
560.0,4.9,2.0,C
640.0,5.3,1.9,C
510.0,1.5,0.3,A
510.859001,1.509493,0.305353,A
570.0,4.2,1.3,B
570.521344,4.204961,1.304322,B
540.0,1.3,0.4,A
610.0,4.6,1.4,B
640.0,4.3,1.3,B
640.707218,4.30353,1.307476,B
480.0,1.6,0.2,A
620.0,4.5,1.5,B
620.54679,4.503075,1.500661,B
630.0,4.2,1.5,C
660.0,4.4,1.4,B
660.137021,4.407614,1.40909,B
440.0,1.3,0.2,A
430.0,1.1,0.1,A
650.0,5.8,2.2,C
670.0,5.0,1.7,B
670.857758,5.00678,1.708843,B
700.0,4.7,1.4,B
700.835301,4.702518,1.406361,B
530.0,1.5,0.2,A
530.487254,1.504364,0.200065,A
470.0,1.3,0.2,A
470.639015,1.30626,0.203732,A
440.0,1.4,0.2,A
440.17334,1.405922,0.205309,A
460.0,1.5,0.2,A
460.748768,1.507198,0.204846,A
540.0,1.5,0.4,A
540.373758,1.508716,0.409373,A
580.0,5.1,1.9,C
450.0,1.3,0.3,A
450.87309,1.303468,0.307863,A
640.0,5.6,2.2,C
640.830831,5.604335,2.20409,C
620.0,4.8,1.8,C
620.0,4.3,1.3,B
620.614646,4.302548,1.307849,B
510.0,1.4,0.3,A
510.130488,1.400942,0.3045,A
740.0,6.1,1.9,C
740.494148,6.106145,1.908684,C
650.0,5.2,2.0,C
550.0,3.7,1.0,B
550.624385,3.70102,1.00472,B
670.0,5.7,2.5,C
630.0,5.6,1.8,C
610.0,4.0,1.3,B
610.046817,4.009781,1.3,B
480.0,1.4,0.3,A
640.0,67.609745,2.1,B
550.0,4.0,1.3,B
570.0,1.5,0.4,A
570.677629,1.503016,0.405808,A
690.0,5.4,2.1,C
580.0,4.1,1.0,B
580.642518,4.108789,1.004042,B
670.0,4.7,1.5,B
670.020426,4.708452,1.5006,B
510.0,3.0,1.1,B
510.682592,3.008307,1.108047,B
630.0,4.7,1.6,B
630.276114,4.708221,1.602166,B
550.0,4.4,1.2,B
510.0,1.5,0.4,A
570.0,4.5,1.3,B
570.28279,4.50115,1.305394,B
560.0,4.1,1.3,B
560.714432,4.103525,1.306051,B
650.0,5.5,1.8,C
650.026563,5.503098,1.801844,C
730.0,6.3,1.8,C
640.0,5.5,1.8,C
580.0,4.0,1.2,B
460.0,1.4,0.2,A
680.0,5.5,2.1,C
640.0,5.3,2.3,C
520.0,1.4,0.2,A
690.0,5.7,2.3,C
580.0,1.2,0.2,A
590.0,4.8,1.8,B
590.464273,4.803824,1.809003,B
630.0,5.0,1.9,C
680.0,5.9,2.3,C
520.0,3.9,1.4,B
520.900117,3.907539,1.408444,B
510.0,1.7,0.5,A
510.297072,1.708527,0.5021,A
600.0,4.5,1.5,B
600.575464,4.508469,1.509756,B
590.0,5.1,1.8,C
490.0,1.4,0.2,A
490.522734,1.40921,0.203337,A
500.0,1.6,0.6,A
500.282724,1.604126,0.608982,A
610.0,4.7,1.4,B
770.0,6.9,2.3,C
560.0,4.2,1.3,B
560.567962,4.208882,1.304746,B
670.0,5.7,2.1,C
770.0,6.7,2.0,C
540.0,1.5,0.2,A
710.0,5.9,2.1,C
650.0,4.6,1.5,B
650.488509,4.609213,1.508127,B
510.0,1.6,0.2,A
510.173629,1.602403,0.202549,A
620.0,5.4,2.3,C
720.0,6.1,2.5,C
650.0,58.594251,2.0,C
520.0,1.5,0.2,A
660.0,4.6,1.3,B
660.415897,4.607847,1.30588,B
670.0,5.8,1.8,C
460.0,1.0,0.2,A
540.0,1.7,0.4,A
770.0,6.1,2.3,C
580.0,5.1,2.4,C
720.0,5.8,1.6,C
720.162874,5.800554,1.606016,C
500.0,1.6,0.4,A
680.0,4.8,1.4,B
680.789463,4.80206,1.400683,B
550.0,1.4,0.2,A
550.175723,1.400427,0.20173,A
470.0,1.6,0.2,A
550.0,1.3,0.2,A
550.269782,1.305114,0.200597,A
640.0,4.5,1.5,B
640.986774,4.501751,1.500938,B
520.0,1.5,0.1,A
520.241648,1.506982,0.107193,A
550.0,3.8,1.1,B
550.067232,3.805937,1.103197,B
670.0,5.6,2.4,C
630.0,4.9,1.5,B
630.590377,4.904967,1.506133,B
570.0,4.2,1.2,B
570.184127,4.204968,1.20774,B
630.0,4.9,1.8,C
490.0,3.3,1.0,B
490.510367,3.308518,1.006663,B
500.0,1.2,0.2,A
570.0,1.7,0.3,A
570.688248,1.708398,0.303086,A
600.0,5.0,1.5,C
630.0,4.4,1.3,B
630.156019,4.402727,1.300138,B
550.874703,4.007505,1.305323,B
560.0,4.5,1.5,B
560.847865,4.505208,1.505072,B
610.0,4.9,1.8,C
560.0,3.9,1.1,B
560.0,3.6,1.3,B
560.7328,3.6094,1.300421,B
570.0,3.5,1.0,B
570.017513,3.505797,1.003729,B
540.0,1.7,0.2,A
540.527964,1.708465,0.207612,A
0.0,0.0,0.0,C
760.0,6.6,2.1,C
480.0,1.9,0.2,A
500.0,1.3,0.3,A
510.0,1.9,0.4,A
510.175091,1.90099,0.405099,A
460.0,1.4,0.3,A
610.0,5.6,1.4,B
610.9281,5.601573,1.407969,C
600.0,4.8,1.8,C
630.0,6.0,2.5,C
590.0,4.2,1.5,B
590.790966,4.208829,1.500248,B
